cost iteration update organism_size num_germ generation generation_diff workload workload_propagule_ineligible
1 0 8600 15.0920 14.5610 51.0080 18.0080 0.2328 0.2170
1 0 8700 15.1900 14.7690 51.2080 18.2080 0.1508 0.1320
1 0 8800 14.9300 14.5710 51.3060 18.3060 0.1376 0.1039
1 0 8900 14.8140 14.5510 51.5670 18.5670 0.1835 0.1779
1 0 9000 14.6460 14.3610 51.8000 18.8000 0.1995 0.1826
1 0 9100 14.7100 14.4490 51.9610 18.9610 0.1230 0.1107
1 0 9200 14.8990 14.6340 52.1800 19.1800 0.1682 0.1523
1 0 9300 14.8470 14.4910 52.3510 19.3510 0.2460 0.2243
1 0 9400 15.0210 14.6610 52.6500 19.6500 0.3239 0.2967
1 0 9500 14.8500 14.4690 52.8900 19.8900 0.3767 0.3370
1 0 9600 14.9210 14.5920 53.0010 20.0010 0.3920 0.3523
1 0 9700 14.7100 14.3770 53.1960 20.1960 0.4686 0.4294
1 0 9800 14.7720 14.3860 53.2850 20.2850 0.5584 0.5093
1 0 9900 14.5470 14.1860 53.3180 20.3180 0.5073 0.4688
1 0 10000 14.6370 14.2670 53.6650 20.6650 0.4214 0.3936
1 0 10100 15.0210 14.6640 53.8230 20.8230 0.4060 0.3800
1 0 10200 14.8750 14.5450 54.0790 21.0790 0.2442 0.2263
1 0 10300 15.1990 14.8480 54.3580 21.3580 0.2300 0.2254
1 0 10400 15.1390 14.7890 54.6580 21.6580 0.2675 0.2552
1 0 10500 15.0130 14.6000 54.8660 21.8660 0.4493 0.3814
1 0 10600 15.2610 14.8440 55.0810 22.0810 0.4257 0.3961
1 0 10700 15.0730 14.7770 55.3140 22.3140 0.2037 0.2041
1 0 10800 14.8960 14.7320 55.4360 22.4360 0.2837 0.2813
1 0 10900 14.7520 14.5390 55.6700 22.6700 0.3132 0.3006
1 0 11000 14.8430 14.6280 55.9010 22.9010 0.3320 0.2878
1 0 11100 14.8880 14.6460 56.1710 23.1710 0.3833 0.3173
1 0 11200 15.0320 14.7430 56.4040 23.4040 0.5001 0.4258
1 0 11300 14.5050 14.1950 56.6580 23.6580 0.4778 0.3973
1 0 11400 14.4570 14.1970 56.8800 23.8800 0.3866 0.3416
1 0 11500 14.5200 14.2570 57.0910 24.0910 0.3972 0.3790
1 0 11600 14.3340 14.0370 57.2260 24.2260 0.4057 0.3754
1 0 11700 14.0600 13.6980 57.4980 24.4980 0.4974 0.4579
1 0 11800 14.1250 13.7790 57.7280 24.7280 0.5465 0.4907
1 0 11900 13.9200 13.4430 57.9180 24.9180 0.5523 0.5003
1 0 12000 14.0400 13.5640 58.0900 25.0900 0.6998 0.6051
1 0 12100 13.6340 13.2540 58.2890 25.2890 0.6313 0.5548
1 0 12200 14.2600 13.8380 58.5020 25.5020 0.6635 0.5864
1 0 12300 14.2760 13.9010 58.7020 25.7020 0.6590 0.5877
1 0 12400 14.2780 13.8990 58.8670 25.8670 0.5451 0.5127
1 0 12500 14.3610 13.9260 58.9290 25.9290 0.6305 0.6034
1 0 12600 14.5670 14.1010 59.0100 26.0100 0.7327 0.7075
1 0 12700 15.0490 14.5720 59.1910 26.1910 0.5690 0.5469
1 0 12800 15.1540 14.6390 59.3760 26.3760 0.5367 0.5064
