cost iteration update organism_size num_germ generation generation_diff workload workload_propagule_ineligible
1 0 8400 8.2730 3.6550 6119.5269 93.5269 55.2097 0.4843
1 0 8500 8.5800 3.7320 6120.3740 94.3740 58.3430 0.5916
1 0 8600 8.6020 3.7470 6121.4521 95.4521 58.6777 0.2869
1 0 8700 8.8530 3.8250 6122.4922 96.4922 58.7611 0.2735
1 0 8800 8.5450 3.7290 6123.6338 97.6338 57.0972 0.3505
1 0 8900 8.7330 3.8010 6124.7090 98.7090 55.1253 0.2494
1 0 9000 8.5180 3.7550 6125.8379 99.8379 55.8369 0.3712
1 0 9100 8.6900 3.8300 6126.9619 100.9619 56.4947 0.3063
1 1 100 4.6280 3.5250 6026.9429 0.9429 24.2427 0.1875
1 1 200 8.4040 4.2960 6027.9580 1.9580 40.0170 0.1792
1 1 300 7.8470 3.5270 6029.0391 3.0391 52.3257 0.2299
1 1 400 8.2440 3.5820 6030.0459 4.0459 52.5161 0.3509
1 1 500 8.3850 3.4610 6031.0698 5.0698 54.9387 0.4955
1 1 600 8.5480 3.6830 6032.1118 6.1118 52.2723 0.3236
1 1 700 8.7160 3.7450 6033.2090 7.2090 49.4075 0.2443
1 1 800 8.3360 3.5280 6034.4072 8.4072 51.4428 0.3761
1 1 900 8.3180 3.5140 6035.5269 9.5269 54.5196 0.3708
1 1 1000 8.6510 3.7230 6036.5991 10.5991 53.0492 0.2947
1 1 1100 8.4600 3.5690 6037.6812 11.6812 49.6508 0.3612
1 1 1200 8.6040 3.7650 6038.6738 12.6738 49.9687 0.3817
1 1 1300 8.2760 3.7340 6039.7251 13.7251 51.9386 0.4432
1 1 1400 8.3680 3.5990 6040.8359 14.8359 52.5739 0.3245
1 1 1500 8.2860 3.5830 6041.8711 15.8711 52.5603 0.4382
1 1 1600 8.2820 3.5350 6042.9199 16.9199 53.5191 0.2405
1 1 1700 8.4780 3.5330 6043.9780 17.9780 55.0177 0.2714
1 1 1800 8.4360 3.5070 6045.0781 19.0781 54.1690 0.2968
1 1 1900 8.3220 3.6120 6046.2012 20.2012 54.1551 0.1919
1 1 2000 8.5560 3.5080 6047.3921 21.3921 55.1412 0.6388
1 1 2100 8.5670 3.6760 6048.5288 22.5288 52.3598 0.4165
1 1 2200 8.3010 3.6430 6049.5601 23.5601 52.7947 0.1532
1 1 2300 8.7920 3.5880 6050.3560 24.3560 55.6823 0.2467
1 1 2400 8.7840 3.6300 6051.3608 25.3608 58.5250 0.4433
1 1 2500 8.1560 3.5990 6052.5020 26.5020 53.0262 0.2495
1 1 2600 8.6840 3.6860 6053.4580 27.4580 56.3747 0.3261
1 1 2700 8.1480 3.6210 6054.4980 28.4980 52.5573 0.4805
1 1 2800 8.5000 3.6150 6055.6040 29.6040 55.6764 0.4512
1 1 2900 8.6210 3.6800 6056.4741 30.4741 54.5030 0.3495
