"","uni_id","iteration","timepoint","m","counts","avg_workload","avg_OGL","per_site_mutation_rate","time_to_fill","growth_rate"
"1",1,57,3002,34,32,414.53125,101,0.010519801980198,173,0.0200331555075129
"2",1,44,3002,26,32,480.5,101,0.00804455445544554,130,0.0266595069446133
"3",1,65,3002,32,31,418.709677419355,101,0.0102203768763973,133,0.0258194526653019
"4",1,9,3002,30,31,502.387096774194,101,0.00958160332162248,156,0.0220127384902894
"5",1,69,3002,26,31,453.741935483871,101,0.00830405621207282,135,0.0254369422554455
"6",1,89,3002,31,31,410.677419354839,101,0.0099009900990099,133,0.0258194526653019
"7",1,33,3002,28,31,457.322580645161,101,0.00894282976684765,134,0.025626770182725
"8",1,45,3002,25,32,482.15625,101,0.00773514851485149,138,0.0251140282811574
"9",1,24,3002,27,31,448.612903225806,101,0.00862344298946024,137,0.0250656000327383
"10",1,22,3002,27,31,417.483870967742,101,0.00862344298946024,157,0.0218725299648735
"11",1,55,3002,35,31,424,101,0.0111785372085596,147,0.0233604571733683
"12",1,68,3002,30,31,449.354838709677,101,0.00958160332162248,157,0.0218725299648735
"13",1,29,3002,31,31,486.806451612903,101,0.0099009900990099,142,0.0241830084822898
"14",1,12,3002,28,31,392.967741935484,101,0.00894282976684765,135,0.0254369422554455
"15",1,72,3002,26,31,478.290322580645,101,0.00830405621207282,140,0.0245284800320368
"16",1,23,3002,25,31,374.322580645161,101,0.0079846694346854,131,0.0262136427823294
"17",1,16,3002,28,31,529.064516129032,101,0.00894282976684765,134,0.025626770182725
"18",1,71,3002,44,31,501.387096774194,101,0.0140530182050463,141,0.0243545191807457
"19",1,53,3002,28,31,431.290322580645,101,0.00894282976684765,135,0.0254369422554455
"20",1,94,3002,31,31,431.161290322581,101,0.0099009900990099,136,0.025249905915332
"21",1,42,3002,25,31,397.935483870968,101,0.0079846694346854,138,0.0248839652498924
"22",1,78,3002,23,32,409.4375,101,0.00711633663366337,134,0.0258637007671621
"23",1,88,3002,28,33,558.818181818182,101,0.0084008400840084,143,0.0244511018284369
"24",1,97,3002,21,31,395.870967741935,101,0.00670712232513574,158,0.0217340962309186
"25",1,99,3002,39,31,371.806451612903,101,0.0124560843181092,142,0.0241830084822898
"26",1,62,3002,32,31,379.903225806452,101,0.0102203768763973,150,0.022893248029901
"27",1,8,3002,34,31,403.451612903226,101,0.0108591504311721,143,0.0240138965348612
