"","uni_id","iteration","timepoint","m","counts","avg_workload","avg_OGL","per_site_mutation_rate","time_to_fill","growth_rate"
"1810",19,55,3600,35,32,367.84375,100.5625,0.0108763206960845,237,0.0146233582396613
"1811",19,68,3600,30,32,433.59375,100.78125,0.00930232558139535,279,0.0124219924831531
"1812",19,29,3600,41,31,388.677419354839,100.774193548387,0.0131241997439181,221,0.0155384036402043
"1813",19,12,3600,25,34,343.441176470588,100.764705882353,0.00729713952130765,199,0.0177204046463124
"1814",19,72,3600,127,31,386.516129032258,100.741935483871,0.0406660262568044,200,0.0171699360224257
"1815",19,23,3600,28,31,381.903225806452,100.935483870968,0.00894854586129754,209,0.0164305607870103
"1816",19,16,3600,31,31,528.58064516129,100.774193548387,0.00992317541613316,220,0.0156090327476598
"1817",19,71,3600,33,31,400.935483870968,100.838709677419,0.0105566218809981,225,0.0152621653532673
"1818",19,53,3600,36,31,488.935483870968,100.774193548387,0.0115236875800256,254,0.0135196346633273
"1819",19,94,3600,25,31,358,100.774193548387,0.00800256081946223,213,0.0161220056548598
"1820",19,42,3600,36,31,350.58064516129,100.677419354839,0.0115347644985582,247,0.0139027822043933
"1821",19,78,3600,41,31,451.967741935484,100.806451612903,0.01312,224,0.015330300020023
"1822",19,88,3600,28,31,401.322580645161,100.58064516129,0.00898011545862733,238,0.014428517665904
"1823",19,97,3600,36,31,363.516129032258,100.741935483871,0.0115273775216138,239,0.014368147299101
"1824",19,99,3600,29,31,374.483870967742,100.774193548387,0.00928297055057619,225,0.0152621653532673
"1825",19,62,3600,34,31,337.548387096774,100.870967741935,0.0108730412535977,242,0.0141900297705998
"1826",19,8,3600,29,31,347.161290322581,100.58064516129,0.00930083386786401,200,0.0171699360224257
"1827",19,34,3600,27,31,404.290322580645,100.709677419355,0.00864830237027546,195,0.0176101907922315
"1828",19,17,3600,35,31,345.903225806452,100.709677419355,0.0112107623318386,208,0.0165095538677171
"1829",19,31,3600,30,31,404.096774193548,100.677419354839,0.00961230374879846,184,0.0186629739374193
"1830",19,38,3600,24,31,379.032258064516,100.806451612903,0.00768,221,0.0155384036402043
"1831",19,1,3600,32,31,353.516129032258,100.774193548387,0.0102432778489117,204,0.0168332706102213
"1832",19,52,3600,23,31,356.516129032258,100.709677419355,0.00736707238949391,206,0.0166698407984716
"1833",19,81,3600,27,31,373.258064516129,100.838709677419,0.00863723608445298,197,0.0174314071293662
"1834",19,19,3600,29,32,420.71875,100.84375,0.0089866749302758,248,0.0139747415435473
"1835",19,64,3600,20,32,425.6875,100.65625,0.00620925178515989,207,0.0167426855207716
"1836",19,51,3600,35,31,393.612903225806,100.806451612903,0.0112,226,0.0151946336481644
"1837",19,77,3600,31,31,400.032258064516,100.709677419355,0.00992953235105701,202,0.0169999366558671
"1838",19,61,3600,32,32,399.1875,100.75,0.00992555831265509,214,0.0161950275831763
"1839",19,91,3600,28,31,441.032258064516,100.774193548387,0.0089628681177977,202,0.0169999366558671
"1840",19,93,3600,34,31,465.032258064516,100.645161290323,0.0108974358974359,240,0.0143082800186881
"1841",19,37,3600,28,31,338.193548387097,100.806451612903,0.00896,225,0.0152621653532673
"1842",19,26,3600,24,31,398.516129032258,100.645161290323,0.00769230769230769,205,0.0167511570950495
"1843",19,83,3600,31,31,360.387096774194,100.774193548387,0.00992317541613316,211,0.0162748208743372
"1844",19,82,3600,31,31,378.516129032258,100.58064516129,0.0099422706863374,237,0.0144893974872791
"1845",19,21,3600,27,31,361.451612903226,100.58064516129,0.00865939704939063,198,0.0173433697196219
"1846",19,74,3600,24,31,368.290322580645,100.677419354839,0.00768984299903877,217,0.0158248258271205
"1847",19,59,3600,26,31,431.677419354839,100.838709677419,0.00831733845169546,224,0.015330300020023
"1848",19,48,3600,35,31,371.516129032258,100.774193548387,0.0112035851472471,197,0.0174314071293662
"1849",19,76,3600,37,31,330.935483870968,99.6451612903226,0.0119779864033668,227,0.0151276969360579
"1850",19,79,3600,41,31,411.258064516129,100.903225806452,0.0131074168797954,209,0.0164305607870103
"1851",19,96,3600,23,31,361.548387096774,100.774193548387,0.00736235595390525,230,0.0149303791499354
"1852",19,75,3600,25,31,368.290322580645,100.645161290323,0.00801282051282051,190,0.0180736168657113
"1853",19,40,3600,25,32,375.6875,100.75,0.00775434243176179,214,0.0161950275831763
"1854",19,70,3600,23,31,393.548387096774,100.741935483871,0.00736471341658662,209,0.0164305607870103
"1855",19,20,3600,27,31,356.612903225806,100.645161290323,0.00865384615384615,208,0.0165095538677171
"1856",19,11,3600,31,31,376.709677419355,100.741935483871,0.00992635286583413,202,0.0169999366558671
"1857",19,60,3600,38,31,366.290322580645,100.774193548387,0.0121638924455826,243,0.0141316345863586
"1858",19,98,3600,125,31,334.677419354839,100.58064516129,0.0400898011545863,255,0.013466616488177
"1859",19,66,3600,34,33,375.969696969697,100.818181818182,0.010219416892095,211,0.0165711258837274
"1860",19,2,3600,36,31,391.096774193548,100.741935483871,0.0115273775216138,244,0.0140737180511686
"1861",19,86,3600,34,31,347.193548387097,100.838709677419,0.0108765195137556,255,0.013466616488177
"1862",19,95,3600,39,31,345.41935483871,100.645161290323,0.0125,222,0.0154684108310142
"1863",19,73,3600,40,31,382.096774193548,100.870967741935,0.0127918132395267,200,0.0171699360224257
"1864",19,87,3600,29,31,379.387096774194,100.774193548387,0.00928297055057619,245,0.014016274304021
"1865",19,36,3600,23,31,384.935483870968,100.774193548387,0.00736235595390525,228,0.0150613473880927
"1866",19,84,3600,28,31,352.612903225806,100.806451612903,0.00896,245,0.014016274304021
"1867",19,6,3600,27,31,385.129032258065,100.709677419355,0.00864830237027546,231,0.0148657454739617
"1868",19,15,3600,18,31,380.387096774194,100.677419354839,0.00576738224927908,204,0.0168332706102213
"1869",19,0,3600,24,31,388,100.741935483871,0.00768491834774256,211,0.0162748208743372
"1870",19,90,3600,40,32,411.8125,100.78125,0.0124031007751938,230,0.0150684169686945
"1871",19,46,3600,23,32,411.0625,100.71875,0.00713620850139622,227,0.0152675590431706
"1872",19,10,3600,35,31,413.161290322581,100.645161290323,0.0112179487179487,224,0.015330300020023
"1873",19,49,3600,24,31,314.838709677419,100.774193548387,0.00768245838668374,185,0.018562092997217
"1874",19,14,3600,24,31,386.967741935484,100.677419354839,0.00768984299903877,208,0.0165095538677171
