"","X","strategy_rep","trans_viable_uni","final_viable_uni","num_viable_unicells_diff","adjusted_trans_viable_uni","adjusted_final_viable_uni","adjusted_num_viable_unicells_diff","value.x","trans_uni_avg_growth_rate","final_uni_avg_growth_rate","trans_uni_avg_rel_fitness","final_uni_avg_rel_fitness","trans_uni_avg_workload","final_uni_avg_workload","trans_multi_avg_growth_rate","final_multi_avg_growth_rate","trans_multi_avg_workload","final_multi_avg_workload","has_soma.x","logistic_entrench_trans","logistic_entrench_final","value.y","experiment","avg_total_SD_trans","avg_total_CV_trans","avg_total_SD_final","avg_total_CV_final","treatment","has_soma.y"
"34",34,3497,117,98,-19,116.294117647059,96.7169312169312,-19.5771864301276,"difference",0.00139314135904572,0.00115950280851221,0.470238807766955,0.0505619701368215,6.49725422138069,209.363993061638,0.002962625236444,0.0229323106946698,51.84,13365.23,"1",95.7603849837476,130.339267403427,"difference","main",0.138133272875919,0.799961041702149,38.8780834938984,1.72780695087117,"DW",1
"35",35,4032,146,24,-122,144.27969348659,24,-120.27969348659,"difference",0.00139598709830391,0.000935703235124177,0.478826994189347,0.0452351871293528,16.1089822226188,328.572547953966,0.00291543107478163,0.0206852959942108,262.49,16849.05,"1",105.547299986817,251.608418982415,"difference","main",0.611990893926513,0.861357500744733,59.0042113176314,1.8683694588319,"DW",1
"36",36,4048,291,51,-240,260.848098348146,49.5398616672734,-211.308236680872,"difference",0.00216521578029966,0.00180794722912445,0.755111126318883,0.274249844003548,21.3985109077915,21.8239660104541,0.00286741342410745,0.00659233639929094,51,5443.39,"0",32.6224582512921,95.7487825507359,"difference","main",0.498401607480629,0.745497877369361,10.3819257412497,1.29809933636407,"DW",0
"37",37,4057,93,51,-42,93,51,-42,"difference",0.00285156854569733,0.00285945932995382,0.783899653261337,0.720775682148852,22.9466309838599,19.7419762596795,0.00363767037507117,0.00396719728588637,3415.02,7895.79,"0",12.8809268658314,18.5404882972254,"difference","main",16.1261262071741,2.36413786866676,40.9924552673615,3.76607963493485,"DW",0
"38",38,4068,150,133,-17,147.389529247705,129.716231395889,-17.6732978518156,"difference",0.00161340919900387,0.0015458265868107,0.515314611491202,0.079627202010878,12.221201097062,154.058714029763,0.00313092072886316,0.0194132978149795,201.33,12074.66,"1",65.1471892790009,191.493065517875,"difference","main",0.294142384993837,1.02253807252916,30.0369191015152,1.34757871025672,"DW",1
"39",39,4076,52,104,52,52,103.735294117647,51.7352941176471,"difference",0.00182684428038143,0.000969999849734336,0.609927855884739,0.051591518297208,15.0414692213942,319.107995514834,0.00299518092632689,0.0188015371857515,61.25,13044.91,"1",62.9295745316487,191.493065517875,"difference","main",0.146116168064497,1.2159670013516,36.843736445826,1.28795558451435,"DW",1
"40",40,4077,107,62,-45,83.9432810486574,9.08912754222264,-74.8541535064348,"difference",0.00124479983114104,0.000635192430936841,0.339963318619821,0.117336807946675,79.9975821292508,227.086225880421,0.0036615710077036,0.00541341154623458,3116.49,4748.18,"0",62.9099223326592,95.74668224779,"difference","main",6.19187415042334,1.22203398646692,11.0727373953082,0.85832847662886,"DW",0
"41",41,4097,119,160,41,116.321988759121,159.240506329114,42.9185175699928,"difference",0.001180072605027,0.00141300213779837,0.422615732062617,0.0612653530631492,22.5587715862042,18.1634254731203,0.00279230638023707,0.0230636414735408,288.51,14332.45,"1",95.4778898366767,191.493065517875,"difference","main",0.666833839437401,1.14905623464291,49.7799143883746,2.24180742412962,"DW",1
"42",42,4122,154,7,-147,153.320512820513,7,-146.320512820513,"difference",0.00116609293404318,0.000892424929912911,0.406851077593671,0.0385656218809046,7.82505686132755,3.41774107534977,0.00286614193316153,0.0231404262757341,133.21,13649.05,"1",123.719639369927,382.991487265192,"difference","main",0.286107154011231,0.64309247747182,32.6875635460652,1.86751788112924,"DW",1
"43",43,4140,86,82,-4,85.234375,82,-3.234375,"difference",0.00126628481187215,0.00039281530039699,0.4611681848676,0.0431019178112828,10.4475056457863,12.9531568545776,0.00274581997072434,0.00911363856515365,327.24,10372.44,"1",125.886906117515,191.493065517875,"difference","main",0.282626549255275,0.877603885490745,18.0335418111614,1.26729909963551,"DW",1
"44",44,4170,175,43,-132,170.000335524604,43,-127.000335524604,"difference",0.00178626746009686,0.00140608999150641,0.577954046244912,0.0548000691543283,38.5874947187868,14.1165087210155,0.00309067385495892,0.0256585441077924,259.18,15860.35,"1",16.3491698033403,191.493065517875,"difference","main",1.109597180074,0.573519386036536,42.024224754273,1.81619230904687,"DW",1
"45",45,4175,144,52,-92,142.750505050505,51.304347826087,-91.4461572244181,"difference",0.00198433934702307,0.000769035240181449,0.610404952104573,0.0657113882271836,27.9826016826928,63.6953371315375,0.00325085722221192,0.0117032261976062,659.39,10081.6,"1",8.2249357784242,95.7487825507359,"difference","main",4.59566321056372,2.38916054550803,22.3395807838731,1.48666160352219,"DW",1
"46",46,4178,49,52,3,16.7610487333333,52,35.2389512666667,"difference",0.000538843913775935,0.00171767554327523,0.344815356547446,0.0815959679746751,80.6279859087792,172.032578766123,0.00156270277278614,0.0210509855561533,2525.84,15132.63,"1",18.1386179266181,191.493065517875,"difference","main",5.71819859293882,1.32645707859173,45.8774749013363,1.78025594488187,"DW",1
"47",47,4217,120,126,6,118.575149134294,120.926208594512,2.35105946021882,"difference",0.00162784200240311,0.00189843231446744,0.532010105003674,0.0954416588098332,14.3272457440262,297.356824929762,0.00305979526909901,0.019891023879311,183.74,13325.07,"1",47.8777696728415,191.493065517875,"difference","main",0.618076003813315,0.9077448437517,32.2472130672648,1.26302305154062,"DW",1
"48",48,4218,50,42,-8,50,42,-8,"difference",0.00120854972235837,0.00148321482638507,0.434748266576804,0.0824099331664208,9.83787456260099,41.5342669471735,0.00277988393576462,0.0179980103052604,186.6,19116.51,"1",130.31550449248,191.493065517875,"difference","main",0.401013780718185,1.05924265451468,53.8334034331317,2.04810704112518,"DW",1
"49",49,4222,88,59,-29,87.2197802197802,59,-28.2197802197802,"difference",0.00117931057929903,0.00102796710559021,0.423186129480734,0.177408429267844,9.98249455454819,1.61852770599539,0.00278674204361587,0.00579435323243985,143.68,4561.94,"0",130.337858040316,191.953796153612,"difference","main",0.349803675551398,1.07660552424769,9.12894711355865,1.56739588100193,"DW",0
"50",50,4234,109,13,-96,109,13,-96,"difference",0.000799789029544235,0.000999035653609989,0.644318761244158,0.0453591075504954,0.133991440738644,112.386430925251,0.00124129402657757,0.0220250288764572,0,15972.26,"1",130.289600476313,382.991487265192,"difference","main",0.00196505572782039,2.82968024806136,43.9914058597032,1.84040261856312,"DW",1
"51",51,4243,220,42,-178,219.103092783505,29.2569708359117,-189.846121947593,"difference",0.00264035548043346,0.00101180765468566,0.912324880624638,0.0492230052936839,22.5465797587519,411.996240167337,0.00289409566318711,0.0205555847037135,26.8,13289.33,"1",5.99171723204604,260.668549153548,"difference","main",0.174393032493653,0.257205253906243,35.0504957713102,1.48966316452636,"DW",1
"52",52,4254,101,104,3,86.515399581165,90.5603702500603,4.04497066889526,"difference",0.00138502136418454,0.00247545290399745,0.43076538792493,0.775386575795302,81.2136008872953,89.6451602039189,0.00321525684980501,0.00319254031636854,123.57,145.57,"0",6.41667734171951,4.09972015821239,"difference","main",0.686351170371713,0.166682127787047,1.11900814668983,0.434935688522715,"DW",0
"53",53,4271,88,87,-1,88,86.8592929292929,-1.14070707070707,"difference",0.00181231028523346,0.00115916220648947,0.668542607615713,0.212879989420419,44.0144759899104,22.6511195625595,0.0027108373716028,0.0054451440440474,113.36,4278,"0",47.9958523311378,128.000000000004,"difference","main",0.861000560504259,0.511672713486181,10.2925267027788,1.76526638437076,"DW",0
"54",54,4278,117,108,-9,113.392934343903,105.285209111131,-8.10772523277194,"difference",0.0016736942633676,0.00198408802292403,0.551553378368752,0.0845514468978362,31.7211766505786,33.5142037692072,0.00303451003838946,0.0234660445884671,180.82,11122.06,"1",47.8997795273965,191.493065517875,"difference","main",0.474241914139707,0.929258484008277,21.164086712439,1.39784949031458,"DW",1
"55",55,4308,54,2,-52,52.5803921568627,2,-50.5803921568627,"difference",0.00213455008046915,0.000903858000128136,0.659886671917493,0.0506847212868931,22.2298817885925,161.489031862745,0.00323472222020577,0.0178329480202128,58.83,16746.17,"1",62.8946167265284,382.991487265192,"difference","main",0.336194660250076,0.747104075374988,31.6428517641362,1.19453125312825,"DW",1
"56",56,4310,77,63,-14,76.5594527363184,62.0120481927711,-14.5474045435473,"difference",0.00298306198497285,0.00208741792091781,0.864582788598045,0.346649265441419,129.009216449431,29.4648393912329,0.00345029073480633,0.00602170011310921,2423.46,6128.01,"1",24.0598989149486,65.2357773928125,"difference","main",13.0415468358491,1.85130841597156,21.3699741472435,2.30165618327853,"DW",1
"57",57,4320,181,39,-142,180.128205128205,39,-141.128205128205,"difference",0.00139384461924839,0.000802253723408577,0.491657495367437,0.143134458190527,8.81664721064757,0.279640377448913,0.00283499109111864,0.0056048957990304,95.18,3994.96,"0",95.7603849837476,191.10570258277,"difference","main",0.245101953227793,0.789893076402697,6.10416889889735,1.2471221132787,"DW",0
"58",58,4355,87,135,48,86.2048192771084,133.261726508785,47.0569072316769,"difference",0.00156102811574952,0.00156272186117936,0.530249590203736,0.0802379244706751,12.1484100840111,111.835473953868,0.002943949688202,0.0194761002541945,129.2,10729.99,"1",62.8946167265284,191.493065517875,"difference","main",0.44934158635473,0.653444561117037,22.786721913254,1.34085098434017,"DW",1
"59",59,4357,360,365,5,207.842160229218,363.166883116883,155.324722887665,"difference",0.00170778048118384,0.00183826665371483,0.538287805530704,0.585884060600077,145.92483470967,17.0375426342838,0.00317261595681166,0.00313759458113953,181.71,83.35,"0",5.99743492349156,10.9567899801133,"difference","main",1.00330869542423,0.196639375818849,0.80492902822208,0.976178696073114,"DW",0
"60",60,4360,65,106,41,65,103.937837822911,38.9378378229113,"difference",0.000950563231554156,0.00128996242808104,0.771338265311442,0.0548611348398575,0.516568722777676,89.6019704286504,0.00123235586033107,0.0235132290253657,1.1,14354.51,"1",65.1769666848026,191.493065517875,"difference","main",0,NA,39.0688155539578,1.72815153476856,"DW",1
"61",61,4367,98,78,-20,96.366008991009,76.4698412698413,-19.8961677211677,"difference",0.00120506466779677,0.000594761647620958,0.401531307749194,0.0894577510940322,15.4803847086784,7.2141442677872,0.00300117237321251,0.00664852000354651,754.28,5178.32,"0",95.7603849837476,190.787676579285,"difference","main",1.98650973695192,1.78861326403176,10.0121330744756,1.44103816735556,"DW",0
"62",62,4387,103,127,24,102.202934662237,124.335541125541,22.1326064633041,"difference",0.00208578265753589,0.0012312176886187,0.739523964842422,0.216970400551653,9.27008498781211,33.9557478237758,0.00282043957558607,0.00567458826405952,81.24,4690.42,"0",23.8854876072352,66.846830924315,"difference","main",0.133908615652068,0.593829674560867,8.95696074087308,1.39713855890243,"DW",0
"63",63,4456,116,76,-40,114.460924369748,76,-38.4609243697479,"difference",0.0015615430337969,0.00181576277911306,0.583403407371128,0.0800977861249017,12.7153789859289,164.750437275136,0.00267660938223409,0.0226693254203258,119.01,12719.38,"1",65.1745969367043,191.493065517875,"difference","main",0.185245662104834,0.568904840225748,29.0014708135779,1.27146162590601,"DW",1
"64",64,4480,73,48,-25,73,47.1978021978022,-25.8021978021978,"difference",0.00176726074071555,0.00145739287716543,0.615453700519619,0.0620155964013275,14.162809242644,221.018894884863,0.0028714763421253,0.0235004250823303,148.59,16115.02,"1",64.6792339265193,191.493065517875,"difference","main",0.336252361796567,0.637874074034325,41.5260662751331,1.54205475918299,"DW",1
"65",65,4493,47,36,-11,47,35.0595238095238,-11.9404761904762,"difference",0.00169814422391701,0.000810463375936169,0.615137830634892,0.0414849794968782,6.78870057535933,142.645400664938,0.00276059143064626,0.0195363089427863,58.15,18316.22,"1",32.6208833263578,382.991487265192,"difference","main",0.204055764739832,0.776098753408129,39.6658576085207,1.42607323048837,"DW",1
