"","strategy_rep","trans_viable_uni","final_viable_uni","num_viable_unicells_diff","adjusted_trans_viable_uni","adjusted_final_viable_uni","adjusted_num_viable_unicells_diff","value","trans_uni_avg_growth_rate","final_uni_avg_growth_rate","trans_uni_avg_rel_fitness","final_uni_avg_rel_fitness","trans_uni_avg_workload","final_uni_avg_workload","trans_multi_avg_growth_rate","final_multi_avg_growth_rate","trans_multi_avg_workload","final_multi_avg_workload"
"1",3002,97,109,12,96.1818181818182,108.365853658537,12.1840354767184,"difference",0.00141339894829946,0.00167276893780468,0.489421487858704,0.0684860123485096,12.9394216432938,21.5075000955596,0.00288789720795321,0.0244249720554956,116.29,15513.24
"2",3017,63,117,54,63,115.336314363144,52.3363143631436,"difference",0.000715597810762008,0.00207876115609631,0.580587698212827,0.0980777561480077,0.0394008988168806,253.778565561426,0.00123254042923192,0.0211950317558171,0,14047.16
"3",3019,111,64,-47,111,63.1136363636364,-47.8863636363636,"difference",0.00132545951804689,0.000822218515357995,0.460996810927058,0.0346228217825578,6.90932170602055,46.5517789560595,0.00287520322620325,0.0237478770656472,150.67,17319.47
"4",3024,53,106,53,53,102.172871826204,49.172871826204,"difference",0.0010279032440855,0.00126455941605856,0.835672550333593,0.0517904579330703,0.0724832656657777,16.3640541516633,0.00123003112125099,0.024416841760557,0,18549.27
"5",3038,101,138,37,100.726315789474,138,37.2736842105263,"difference",0.00261535977378481,0.000677329110164538,0.884517618868671,0.0212624566450296,43.7149126374826,23.744087869708,0.00295682043861371,0.0318556374492536,159.56,13393.67
"6",3046,129,75,-54,129,75,-54,"difference",0.00163934093450975,0.000820356534195971,0.589826831047678,0.0395093177777582,9.07808042467709,7.5290432833962,0.00277935971749178,0.0207636218577733,109.21,15290.59
"7",3056,66,116,50,66,116,50,"difference",0.000790414791278126,0.00202665480992093,0.635190340121501,0.0846910211047083,0.1384540144987,40.6674922935429,0.00124437470369422,0.0239299843535392,0,14446.18
"8",3074,63,77,14,62.1136363636364,77,14.8863636363636,"difference",0.00179639073645778,0.00137351432059404,0.582402440389585,0.229790654208684,15.3769680925588,3.56138644702189,0.00308444919162105,0.00597724187401755,149.76,4595.05
"9",3097,53,134,81,53,134,81,"difference",0.00164828820615339,0.000921773451724189,0.587925675963636,0.0425715968332257,9.18276878789865,75.8758943819808,0.00280356560963555,0.0216523109371546,143.43,16161.73
"10",3100,95,38,-57,94.1666666666667,36.4629766753054,-57.7036899913612,"difference",0.00161509560567196,0.00140584925010282,0.747516102614001,0.065405004600803,11.9336082913577,91.7591648452211,0.00216061647371088,0.0214945210795927,4994.87,11386.1
"11",3102,132,51,-81,132,42.8403773580921,-89.1596226419079,"difference",0.000530764496597903,0.00125539090489752,0.438470915634778,0.052845844816567,0.0814632825705061,311.03265737078,0.00121048963037722,0.0237557164476242,0,15916.44
"12",3111,127,93,-34,126.204301075269,89.9291345503719,-36.2751665248969,"difference",0.00183024988691309,0.000853773880811306,0.63445645882721,0.149475355201431,10.1674225754379,38.2533390356079,0.0028847525491289,0.00571180365927728,113.96,4283.26
"13",3150,625,88,-537,563.407834172204,82.4774638021353,-480.930370370069,"difference",0.00256382979563946,0.00096713045117925,0.883045143105976,0.12988095428604,102.606125476512,184.203986486843,0.00290339606718359,0.00744628384119593,172.66,10692.57
"14",3158,88,7,-81,88,6.07058823529412,-81.9294117647059,"difference",0.000618897053304503,0.000346868474700829,0.516854630659455,0.0138414558367139,0.318875874056582,317.310401433301,0.00119742963802966,0.0250601149758232,0,15048.98
"15",3181,110,107,-3,108.614905149051,101.694662021724,-6.92024312732723,"difference",0.000867122380643446,0.00154339115015515,0.330158026890748,0.0824565945017794,10.9546459935909,33.8353358907109,0.0026263858819655,0.0187176193666577,324.92,12279.34
"16",3186,48,81,33,48,80.0549450549451,32.0549450549451,"difference",0.00201712447548186,0.00109919931652677,0.728555492308341,0.052408629580216,12.4365952503175,65.446290338408,0.00276866278104753,0.0209736321161451,184.83,24794.64
"17",3227,157,31,-126,155.378571428571,31,-124.378571428571,"difference",0.00207060142051416,0.000600478262405036,0.654982977401544,0.0330466711126317,12.0346796871315,378.626805212442,0.00316130570099497,0.0181706127179482,195.99,11301.89
"18",3257,127,40,-87,127,40,-87,"difference",0.000614326214743442,0.000786754673285195,0.509009255077312,0.0359074785486673,0.415348293200495,60.1517600588678,0.00120690578533809,0.0219106076250624,11.22,13671.43
"19",3312,115,81,-34,114.022471910112,80.0597014925373,-33.962770417575,"difference",0.00125106660403551,0.00181784748277088,0.279672022132522,0.0874506789944013,11.4709511839668,125.076263994382,0.00447333485307551,0.0207871168488842,6181.92,14606.32
"20",3323,49,41,-8,49,41,-8,"difference",0.00264867006730928,0.00282279576823242,0.776484813048174,0.602139486783712,55.1401374457243,93.09463986201,0.00341110350492451,0.00468794329252545,76.92,3983.9
"21",3335,105,64,-41,105,61.5143033437151,-43.4856966562849,"difference",0.00172808665408842,0.00166478468265523,0.610836190207513,0.0841594613397398,14.4427160731423,238.546390725366,0.00282905086796077,0.0197813134275507,327.67,12228.27
"22",3358,116,76,-40,103.309270728746,73.4004978609825,-29.9087728677639,"difference",0.00165908149764741,0.00214387759524826,0.532402124057794,0.587285629226985,33.1198159523617,180.964525389061,0.0031162187802754,0.00365048536615843,50.37,3122.75
"23",3362,43,39,-4,43,39,-4,"difference",0.00141586574888625,0.000868164432637521,0.508998497043073,0.0396399575919165,9.41203058379734,132.345112763957,0.00278166980278222,0.0219012452428698,218.14,20047.08
"24",3366,173,54,-119,173,53.1058823529412,-119.894117647059,"difference",0.00181539269095662,0.00141699748812358,0.654339826769678,0.0573579670102226,20.3241181707455,183.779852412031,0.0027743881950741,0.0247044580201219,70.16,13885.73
"25",3383,92,81,-11,91.2352941176471,76.0259430600755,-15.2093510575715,"difference",0.00122614242532344,0.00101534539011728,0.452094900703395,0.0370372501816161,30.1938737574134,204.817660368776,0.00271213504822933,0.027414167767273,124.08,13089.34
"26",3411,141,40,-101,140.25,39.6521739130435,-100.597826086957,"difference",0.00142860739929323,0.000842112955279369,0.501981792974293,0.0947611708491751,14.5784046957448,106.596908623202,0.00284593469183133,0.00888668795175297,5078.36,14771.46
"27",3416,142,54,-88,140.559916274202,47.970106560913,-92.589809713289,"difference",0.00111072422195373,0.000397393380597131,0.385877730030601,0.0216504856489681,8.48391327610051,163.041394443685,0.00287843566889866,0.0183549407177419,83.96,12288.99
"28",3430,98,27,-71,97.1086956521739,27,-70.1086956521739,"difference",0.00107129792317207,0.0006803559283178,0.416302321360525,0.0452315242071093,18.492240403993,843.932968337927,0.00257336524012391,0.0150416316992224,354.41,19538.46
"29",3447,86,79,-7,56.8136361935271,71.232069294112,14.4184331005849,"difference",0.00139382727086984,0.00144635898114696,0.458756404615273,0.383368429238961,144.94871561483,119.595510290519,0.00303827315945322,0.00377276497185274,285.54,3974.8
"30",3451,117,32,-85,112.024944250586,32,-80.0249442505864,"difference",0.0027159591636235,0.000808381036333369,0.852203745618171,0.169785409180644,91.4407252947207,24.8717839227191,0.00318698336822422,0.00476119261504554,189.06,4335.56
"31",3486,112,9,-103,112,4.53162789531617,-107.468372104684,"difference",0.00211595215693983,0.00043215915708309,0.677589057033346,0.0239992585167078,17.8653993928293,199.163309915034,0.0031227661293764,0.0180071878796684,134.25,15260.82
"32",3493,161,68,-93,155.330856086765,65.9598584200941,-89.3709976666711,"difference",0.0023074041774685,0.00211841734165305,0.731837279121512,0.676111226753848,48.3147986225122,37.3306428990773,0.00315289237552681,0.00313323793161077,106.79,859.15
"33",3497,117,98,-19,116.294117647059,96.7169312169312,-19.5771864301276,"difference",0.00139314135904572,0.00115950280851221,0.470238807766955,0.0505619701368215,6.49725422138069,209.363993061638,0.002962625236444,0.0229323106946698,51.84,13365.23
"34",4032,146,24,-122,144.27969348659,24,-120.27969348659,"difference",0.00139598709830391,0.000935703235124177,0.478826994189347,0.0452351871293528,16.1089822226188,328.572547953966,0.00291543107478163,0.0206852959942108,262.49,16849.05
"35",4048,300,51,-249,269.848098348146,49.5398616672734,-220.308236680872,"difference",0.00218883668743001,0.00180794722912445,0.763348831747672,0.274249844003548,20.7541852101873,21.8239660104541,0.00286741342410745,0.00659233639929094,51,5443.39
"36",4057,93,51,-42,93,51,-42,"difference",0.00285156854569733,0.00285945932995382,0.783899653261337,0.720775682148852,22.9466309838599,19.7419762596795,0.00363767037507117,0.00396719728588637,3415.02,7895.79
"37",4068,150,133,-17,147.389529247705,129.716231395889,-17.6732978518156,"difference",0.00161340919900387,0.0015458265868107,0.515314611491202,0.079627202010878,12.221201097062,154.058714029763,0.00313092072886316,0.0194132978149795,201.33,12074.66
"38",4076,52,104,52,52,103.735294117647,51.7352941176471,"difference",0.00182684428038143,0.000969999849734336,0.609927855884739,0.051591518297208,15.0414692213942,319.107995514834,0.00299518092632689,0.0188015371857515,61.25,13044.91
"39",4077,107,62,-45,83.9432810486574,9.08912754222264,-74.8541535064348,"difference",0.00124479983114104,0.000635192430936841,0.339963318619821,0.117336807946675,79.9975821292508,227.086225880421,0.0036615710077036,0.00541341154623458,3116.49,4748.18
"40",4097,119,160,41,116.321988759121,159.240506329114,42.9185175699928,"difference",0.001180072605027,0.00141300213779837,0.422615732062617,0.0612653530631492,22.5587715862042,18.1634254731203,0.00279230638023707,0.0230636414735408,288.51,14332.45
"41",4122,154,7,-147,153.320512820513,7,-146.320512820513,"difference",0.00116609293404318,0.000892424929912911,0.406851077593671,0.0385656218809046,7.82505686132755,3.41774107534977,0.00286614193316153,0.0231404262757341,133.21,13649.05
"42",4140,86,82,-4,85.234375,82,-3.234375,"difference",0.00126628481187215,0.00039281530039699,0.4611681848676,0.0431019178112828,10.4475056457863,12.9531568545776,0.00274581997072434,0.00911363856515365,327.24,10372.44
"43",4170,175,43,-132,170.000335524604,43,-127.000335524604,"difference",0.00178626746009686,0.00140608999150641,0.577954046244912,0.0548000691543283,38.5874947187868,14.1165087210155,0.00309067385495892,0.0256585441077924,259.18,15860.35
"44",4175,144,52,-92,142.750505050505,51.304347826087,-91.4461572244181,"difference",0.00198433934702307,0.000769035240181449,0.610404952104573,0.0657113882271836,27.9826016826928,63.6953371315375,0.00325085722221192,0.0117032261976062,659.39,10081.6
"45",4178,49,52,3,16.7610487333333,52,35.2389512666667,"difference",0.000538843913775935,0.00171767554327523,0.344815356547446,0.0815959679746751,80.6279859087792,172.032578766123,0.00156270277278614,0.0210509855561533,2525.84,15132.63
"46",4217,120,126,6,118.575149134294,120.926208594512,2.35105946021882,"difference",0.00162784200240311,0.00189843231446744,0.532010105003674,0.0954416588098332,14.3272457440262,297.356824929762,0.00305979526909901,0.019891023879311,183.74,13325.07
"47",4218,50,42,-8,50,42,-8,"difference",0.00120854972235837,0.00148321482638507,0.434748266576804,0.0824099331664208,9.83787456260099,41.5342669471735,0.00277988393576462,0.0179980103052604,186.6,19116.51
"48",4234,109,13,-96,109,13,-96,"difference",0.000799789029544235,0.000999035653609989,0.644318761244158,0.0453591075504954,0.133991440738644,112.386430925251,0.00124129402657757,0.0220250288764572,0,15972.26
"49",4243,220,42,-178,219.103092783505,29.2569708359117,-189.846121947593,"difference",0.00264035548043346,0.00101180765468566,0.912324880624638,0.0492230052936839,22.5465797587519,411.996240167337,0.00289409566318711,0.0205555847037135,26.8,13289.33
"50",4254,101,104,3,86.515399581165,90.5603702500603,4.04497066889526,"difference",0.00138502136418454,0.00247545290399745,0.43076538792493,0.775386575795302,81.2136008872953,89.6451602039189,0.00321525684980501,0.00319254031636854,123.57,145.57
"51",4271,88,87,-1,88,86.8592929292929,-1.14070707070707,"difference",0.00181231028523346,0.00115916220648947,0.668542607615713,0.212879989420419,44.0144759899104,22.6511195625595,0.0027108373716028,0.0054451440440474,113.36,4278
"52",4278,117,101,-16,113.392934343903,98.709122154609,-14.6838121892937,"difference",0.0016736942633676,0.0020162822226923,0.551553378368752,0.0859233951887764,31.7211766505786,33.2028978635517,0.00303451003838946,0.0234660445884671,180.82,11122.06
"53",4308,54,2,-52,52.5803921568627,2,-50.5803921568627,"difference",0.00213455008046915,0.000903858000128136,0.659886671917493,0.0506847212868931,22.2298817885925,161.489031862745,0.00323472222020577,0.0178329480202128,58.83,16746.17
"54",4310,75,62,-13,74.7833333333333,61.0120481927711,-13.7712851405622,"difference",0.00299462446397635,0.00208631328851229,0.867933949381932,0.346465823492339,126.644119703237,29.4026887069272,0.00345029073480633,0.00602170011310921,2423.46,6128.01
"55",4320,181,39,-142,180.128205128205,39,-141.128205128205,"difference",0.00139384461924839,0.000802253723408577,0.491657495367437,0.143134458190527,8.81664721064757,0.279640377448913,0.00283499109111864,0.0056048957990304,95.18,3994.96
"56",4357,360,365,5,207.842160229218,363.166883116883,155.324722887665,"difference",0.00170778048118384,0.00183826665371483,0.538287805530704,0.585884060600077,145.92483470967,17.0375426342838,0.00317261595681166,0.00313759458113953,181.71,83.35
"57",4360,65,106,41,65,103.937837822911,38.9378378229113,"difference",0.000950563231554156,0.00128996242808104,0.771338265311442,0.0548611348398575,0.516568722777676,89.6019704286504,0.00123235586033107,0.0235132290253657,1.1,14354.51
"58",4367,98,78,-20,96.366008991009,76.4698412698413,-19.8961677211677,"difference",0.00120506466779677,0.000594761647620958,0.401531307749194,0.0894577510940322,15.4803847086784,7.2141442677872,0.00300117237321251,0.00664852000354651,754.28,5178.32
"59",4387,103,127,24,102.202934662237,124.335541125541,22.1326064633041,"difference",0.00208578265753589,0.0012312176886187,0.739523964842422,0.216970400551653,9.27008498781211,33.9557478237758,0.00282043957558607,0.00567458826405952,81.24,4690.42
