"","strategy_rep","inflection_point","timepoint"
"1",8023,125.829042317889,0
"2",8030,95.7782752821384,0
"3",8031,47.8970792418475,0
"4",8039,32.5814822423215,0
"5",8047,130.308918435153,0
"6",8182,95.7782752821384,0
"7",8185,95.7782752821384,0
"8",8198,3.92419786930739,0
"9",8220,131.588982596104,0
"10",8251,51.7071030254624,0
"11",8271,65.8356167296494,0
"12",8291,191.298925049924,0
"13",8295,125.829042317889,0
"14",8307,95.7782752821384,0
"15",8312,130.308918435153,0
"16",8329,65.1575469852369,0
"17",8365,65.1575469852369,0
"18",8372,71.5456001543379,0
"19",8377,47.8970792418475,0
"20",8379,65.1575469852369,0
"21",8382,95.7782752821384,0
"22",8397,95.7782752821384,0
"23",8428,125.829042317889,0
"24",8433,47.8970792418475,0
"25",8434,191.298925049924,0
"26",8456,32.5814822423215,0
"27",8494,95.7782752821384,0
"28",8533,131.588982596104,0
"29",8545,95.7782752821384,0
"30",8594,15.7265465524574,0
"31",8614,32.5814822423215,0
"32",8618,11.9795182883619,0
"33",8625,62.9105563769146,0
"34",8644,95.7782752821384,0
"35",8677,4.08164024511959,0
"36",8684,62.9105563769147,0
"37",8697,47.8970792418475,0
"38",8712,95.7782752821384,0
"39",8727,191.298925049924,0
"40",8739,95.7782752821384,0
"41",8761,95.7782752821384,0
"42",8815,191.298925049924,0
"43",8826,95.7782752821384,0
"44",8851,125.829042317889,0
"45",8900,191.298925049924,0
"46",8941,95.7782752821384,0
"47",8992,65.1575469852369,0
"48",8023,260.637970793517,1
"49",8030,108.997211640584,1
"50",8031,32.5801195209634,1
"51",8039,65.1339514882788,1
"52",8047,61.8119183241418,1
"53",8182,65.1531652875554,1
"54",8185,98.4179677750697,1
"55",8198,23.9621632299015,1
"56",8220,66.8069089181195,1
"57",8251,64.0000000000012,1
"58",8271,61.6871627923134,1
"59",8291,89.8806614822451,1
"60",8295,65.1531652875554,1
"61",8307,65.1824128498903,1
"62",8312,65.1531652875554,1
"63",8329,64.0000000000008,1
"64",8365,66.7963875541254,1
"65",8372,47.9260573958456,1
"66",8377,58.3924353133713,1
"67",8379,65.1531652875554,1
"68",8382,32.579523641903,1
"69",8397,95.8297435935094,1
"70",8428,61.6871627923134,1
"71",8433,64.0000000000011,1
"72",8434,95.8086586460367,1
"73",8456,113.584537952371,1
"74",8494,44.8599833035849,1
"75",8533,61.6941869381854,1
"76",8545,64.6248987022777,1
"77",8594,95.8297435935094,1
"78",8614,32.5801195209634,1
"79",8618,16.2914042748427,1
"80",8625,33.3675556623462,1
"81",8644,62.9154825724579,1
"82",8677,7.6395141816992,1
"83",8684,61.6842927808669,1
"84",8697,61.6842927808669,1
"85",8712,95.8297435935094,1
"86",8727,90.977234585249,1
"87",8739,125.843842211137,1
"88",8761,123.62165308291,1
"89",8815,66.8086562602994,1
"90",8826,62.9154825724579,1
"91",8851,125.859862960935,1
"92",8900,66.8086562602994,1
"93",8941,64.0000000000012,1
"94",8992,66.8086562602994,1
