"","strategy_rep","timepoint","mc_or_uni","rev_mut_ID","avg_workload","workload_sd","avg_growth_rate","growth_rate_sd","rel_fitness","num_iterations_F1","num_iterations_F2","proportion_fertile","label"
"1",3002,"transition","mc","0",116.29,291.017452182421,0.00288789720795321,0.000269345249419536,1,NA,NA,NA,"DW.1"
"2",3002,"transition","uni","6_32",22.0240963855422,47.8478217521929,0.0014102177063804,0.000133095862663371,0.488319910589852,83,83,1,"DW.1"
"3",3002,"transition","uni","7_32",11.6341463414634,28.3873177191323,0.00141937411195403,0.000134622822013254,0.491490523985793,82,82,1,"DW.1"
"4",3002,"transition","uni","8_32",11.4871794871795,30.5319690193923,0.00139674182579694,0.000131432581460431,0.483653580865116,78,78,1,"DW.1"
"5",3002,"transition","uni","9_32",10.7560975609756,25.6060182815931,0.00137535265980138,0.000141375453267103,0.4762470963349,82,82,1,"DW.1"
"6",3002,"transition","uni","10_32",7.97368421052632,24.9596867951559,0.00141503989496359,0.0001344364130304,0.489989702911377,76,76,1,"DW.1"
"7",3002,"transition","uni","11_32",8.13333333333333,30.0779767385488,0.00138955551928007,0.000121721420548419,0.481165159013715,75,75,1,"DW.1"
"8",3002,"transition","uni","12_32",16.3939393939394,31.8577988461122,0.00138496712993525,0.000137329886407568,0.479576324988674,66,66,1,"DW.1"
"9",3002,"transition","uni","13_32",14.625,35.4864159120883,0.00141116501653783,0.000138057605320145,0.48864793824777,64,64,1,"DW.1"
"10",3002,"transition","uni","14_32",14.1025641025641,45.380809990765,0.0013663614146421,0.000138582682002193,0.473133673483656,78,78,1,"DW.1"
"11",3002,"transition","uni","15_32",9.16883116883117,23.380942868185,0.00139571905261386,0.000118550625093174,0.483299422420602,77,77,1,"DW.1"
"12",3002,"transition","uni","16_32",8.53125,30.1619800358421,0.00139418793073339,0.000121143996632066,0.482769236693685,64,64,1,"DW.1"
"13",3002,"transition","uni","17_32",9.89189189189189,25.7062262952833,0.00139147451613806,0.000144560396406462,0.481829655261264,74,74,1,"DW.1"
"14",3002,"transition","uni","18_32",12.8378378378378,43.5367981741999,0.00140737198880077,0.000108005051712408,0.48733451624417,74,74,1,"DW.1"
"15",3002,"transition","uni","20_32",16.8405797101449,45.7466241725923,0.00136634509982623,0.000132644709781803,0.473128024108109,69,69,1,"DW.1"
"16",3002,"transition","uni","21_32",13.0833333333333,36.3503104584065,0.00137069726402617,0.000139012581130359,0.474635059811444,72,72,1,"DW.1"
