"","strategy_rep","trans_viable_uni","final_viable_uni","num_viable_unicells_diff","adjusted_trans_viable_uni","adjusted_final_viable_uni","adjusted_num_viable_unicells_diff","value","trans_uni_avg_growth_rate","final_uni_avg_growth_rate","trans_uni_avg_rel_fitness","final_uni_avg_rel_fitness","trans_uni_avg_workload","final_uni_avg_workload","trans_multi_avg_growth_rate","final_multi_avg_growth_rate","trans_multi_avg_workload","final_multi_avg_workload"
"1",8023,46,45,-1,46,45,-1,"difference",0.00163321225465628,0.000795653949685156,0.631753542443987,0.249297844099568,8.89525839143039,23.6959484626814,0.00258520474351132,0.00319157974493906,74.91,74.64
"2",8030,79,67,-12,78.1860465116279,66.1276595744681,-12.0583869371598,"difference",0.00138564016698985,0.00156204996386952,0.502925862110285,0.498428487825202,13.8874529535448,6.91483683329623,0.00275515790970797,0.00313395000892752,45.28,81.11
"3",8031,151,63,-88,149.847092071992,63,-86.8470920719917,"difference",0.00132884809687283,0.001839824900038,0.439466230044728,0.565901995904436,14.3003714530704,7.67218850249251,0.00302377749648155,0.00325113696956936,76.77,29
"4",8039,108,85,-23,107.052631578947,84.2421052631579,-22.8105263157895,"difference",0.00124736824849988,0.00193151196197021,0.442985273064829,0.57417863410325,11.6199478002336,39.4898362694663,0.0028158232888192,0.00336395652371641,175.31,116.97
"5",8047,148,114,-34,148,111.868717948718,-36.1312820512821,"difference",0.00106474389854814,0.00113944073107607,0.366107860095395,0.354992581414392,7.38313429574802,15.2009030574749,0.00290827926576257,0.0032097592759156,22.9,45.62
"6",8182,77,67,-10,77,67,-10,"difference",0.00174168643099084,0.00177446283608082,0.571142891969149,0.541650626728284,9.48629063213527,4.24310007515861,0.00304947580628373,0.00327602840007599,25.51,12.34
"7",8185,220,61,-159,182.766837640802,61,-121.766837640802,"difference",0.00134210600533665,0.00152150068121539,0.474697865088673,0.49387356109422,23.1514623589218,6.45933911980746,0.00282728468788446,0.00308074940850118,80.7,88.6
"8",8198,142,37,-105,129.531222662567,37,-92.5312226625669,"difference",0.00199334812641608,0.00309005529747878,0.639147612675565,0.89618211538223,83.8525754195467,14.866533257606,0.003118760184477,0.00344802160681464,166.72,74.18
"9",8220,124,101,-23,122.457012195122,101,-21.4570121951219,"difference",0.00109509896141614,0.00199644729844845,0.408057317283288,0.616013997853982,7.54868649510432,5.91830915828365,0.0026836890677686,0.00324091222829921,36.19,10.59
"10",8251,111,38,-73,110.425,38,-72.425,"difference",0.00147560903362213,0.000884482993538462,0.494829962791193,0.276243495586752,12.737779249507,3.10329495517278,0.00298205271422662,0.00320182378108047,11.04,28.64
"11",8271,72,85,13,72,84.0459770114943,12.0459770114943,"difference",0.00124275735623524,0.00180466534809349,0.445935207653149,0.562431729795033,14.8379578429828,41.7609450474859,0.00278685633003856,0.00320868338767297,59.56,71.31
"12",8291,88,46,-42,88,42.2268281101614,-45.7731718898386,"difference",0.000615525007739643,0.00161029181120313,0.508748850124662,0.498155897397058,0.464275930429651,13.7497581896641,0.0012098798996574,0.00323250576700418,0.68,69.18
"13",8295,128,28,-100,126.710752218827,28,-98.7107522188273,"difference",0.000863787629766166,0.00195735238272032,0.318369375829235,0.577406022977943,6.01092809727212,20.2654209638492,0.00271316180306701,0.00338990641736879,25.72,79.85
"14",8307,141,75,-66,139.66172381835,74.1234567901235,-65.5382670282269,"difference",0.00168508785232307,0.00138326930914155,0.55052078055416,0.446603553717946,8.2920936342656,9.88152011790349,0.00306089781139023,0.00309730923013469,58.46,41.01
"15",8312,90,103,13,88.4448700410397,102.16,13.7151299589603,"difference",0.00127474638311513,0.00125493738449414,0.449248149281365,0.407066221082377,11.4503583105961,5.68566223184877,0.00283751059443263,0.00308288263555079,37.72,18.96
"16",8329,46,46,0,46,46,0,"difference",0.00175933711315328,0.00160131329400801,0.61769695187612,0.4956612416301,10.3340865893967,3.99758015113993,0.0028482204871008,0.00323066070032369,32.15,24.88
"17",8365,77,81,4,75.7858687815429,73.5319192907237,-2.25394949081922,"difference",0.00204159348967524,0.00182658087845504,0.670245148128706,0.569277190579572,20.2551740463575,24.0564513327699,0.00304603993833492,0.00320859663566605,141.63,81.67
